Sr. No,District Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
198,Nashik,Devala,Bajra,1030,1336,1251,25012018
199,Nashik,Devala,Bajra,1026,1066,1030,24012018
200,Nashik,Devala,Bajra,1026,1229,1229,23012018
201,Nashik,Devala,Bajra,1051,1325,1290,22012018
202,Nashik,Devala,Bajra,951,1227,1125,19012018
203,Nashik,Devala,Bajra,1006,1351,1190,18012018
204,Nashik,Devala,Bajra,1025,1376,1081,17012018
205,Nashik,Devala,Bajra,1011,1321,1150,12012018
206,Nashik,Devala,Bajra,1068,1370,1271,11012018
207,Nashik,Devala,Bajra,1031,1333,1333,10012018
208,Nashik,Devala,Bajra,1556,1556,1556,09012018
209,Nashik,Devala,Bajra,1091,1415,1361,08012018
210,Nashik,Devala,Bajra,1091,1521,1422,05012018
211,Nashik,Devala,Bajra,1043,1251,1174,03012018
212,Nashik,Devala,Bajra,1201,1551,1315,02012018
213,Nashik,Devala,Bajra,1155,1155,1155,01012018
214,Nashik,Devala,Bajra,1262,1345,1262,28122017
215,Nashik,Devala,Bajra,1245,1245,1245,27122017
216,Nashik,Devala,Bajra,1051,1371,1360,26122017
217,Nashik,Devala,Bajra,1199,1202,1201,22122017
218,Nashik,Devala,Bajra,1301,1426,1426,21122017
219,Nashik,Devala,Bajra,1036,1272,1250,20122017
220,Nashik,Devala,Bajra,1291,1600,1391,19122017
221,Nashik,Devala,Bajra,1093,1505,1300,15122017
222,Nashik,Devala,Bajra,1226,1509,1509,14122017
223,Nashik,Devala,Bajra,1090,1150,1150,13122017
224,Nashik,Devala,Bajra,1000,1501,1200,12122017
225,Nashik,Devala,Bajra,1401,1601,1601,11122017
226,Nashik,Devala,Bajra,1301,1662,1480,08122017
227,Nashik,Devala,Bajra,1310,1655,1495,07122017
228,Nashik,Devala,Bajra,1140,1475,1364,06122017
229,Nashik,Devala,Bajra,1400,1524,1524,05122017
230,Nashik,Devala,Bajra,1000,1615,1499,04122017
231,Nashik,Devala,Bajra,1355,1575,1505,30112017
232,Nashik,Devala,Bajra,1391,1500,1500,29112017
233,Nashik,Devala,Bajra,1260,1725,1461,28112017
234,Nashik,Devala,Bajra,991,1600,1351,27112017
235,Nashik,Devala,Bajra,980,1540,1356,24112017
236,Nashik,Devala,Bajra,999,1301,1151,23112017
237,Nashik,Devala,Bajra,995,1341,1298,22112017
238,Nashik,Devala,Bajra,1100,1291,1101,20112017
239,Nashik,Devala,Bajra,1051,1465,1374,17112017
240,Nashik,Devala,Bajra,1060,1060,1060,16112017
241,Nashik,Devala,Bajra,1035,1299,1090,15112017
242,Nashik,Devala,Bajra,1061,1551,1393,14112017
243,Nashik,Devala,Bajra,1165,1480,1224,13112017
244,Nashik,Devala,Bajra,1245,1327,1327,10112017
245,Nashik,Devala,Bajra,1076,1436,1325,09112017
246,Nashik,Devala,Bajra,1071,1465,1300,08112017
247,Nashik,Devala,Bajra,1050,1393,1180,07112017
248,Nashik,Devala,Bajra,1064,1449,1326,06112017
249,Nashik,Devala,Bajra,1052,1480,1105,03112017
250,Nashik,Devala,Bajra,1077,1425,1361,01112017
251,Nashik,Devala,Bajra,1070,1377,1350,31102017
252,Nashik,Devala,Bajra,1080,1352,1300,30102017
253,Nashik,Devala,Bajra,1200,1416,1299,27102017
254,Nashik,Devala,Bajra,1165,1379,1230,26102017
255,Nashik,Devala,Bajra,1185,1335,1300,25102017
256,Nashik,Devala,Bajra,1153,1290,1251,24102017
257,Nashik,Devala,Bajra,1280,1331,1300,23102017
258,Nashik,Devala,Bajra,1081,1270,1270,17102017
259,Nashik,Devala,Bajra,1151,1272,1251,16102017
260,Nashik,Devala,Bajra,1125,1300,1271,13102017
261,Nashik,Devala,Bajra,1039,1280,1121,12102017
262,Nashik,Devala,Bajra,1176,1252,1176,11102017
263,Nashik,Devala,Bajra,1055,1241,1171,10102017
264,Nashik,Devala,Bajra,1085,1291,1136,09102017
265,Nashik,Devala,Bajra,1021,1156,1121,06102017
266,Nashik,Devala,Bajra,1005,1162,1100,05102017
267,Nashik,Devala,Bajra,1020,1325,1191,04102017
268,Nashik,Devala,Bajra,1031,1291,1250,03102017
269,Nashik,Devala,Bajra,1040,1190,1098,29092017
270,Nashik,Devala,Bajra,1030,1301,1225,28092017
271,Nashik,Devala,Bajra,1071,1315,1225,27092017
272,Nashik,Devala,Bajra,1061,1196,1142,26092017
273,Nashik,Devala,Bajra,1060,1270,1100,22092017
274,Nashik,Devala,Bajra,1000,1199,1090,21092017
275,Nashik,Devala,Bajra,1041,1132,1091,19092017
276,Nashik,Devala,Bajra,1150,1300,1275,18092017
277,Nashik,Devala,Bajra,1101,1365,1300,15092017
278,Nashik,Devala,Bajra,1130,1300,1217,14092017
279,Nashik,Devala,Bajra,1135,1499,1211,13092017
280,Nashik,Devala,Bajra,1090,1320,1200,12092017
281,Nashik,Devala,Bajra,1151,1322,1250,11092017
282,Nashik,Devala,Bajra,1200,1305,1290,08092017
283,Nashik,Devala,Bajra,1200,1300,1230,07092017
284,Nashik,Devala,Bajra,1215,1355,1236,06092017
285,Nashik,Devala,Bajra,1248,1391,1361,04092017
286,Nashik,Devala,Bajra,1291,1361,1351,01092017
287,Nashik,Devala,Bajra,1251,1435,1401,31082017
288,Nashik,Devala,Bajra,1315,1595,1410,30082017
289,Nashik,Devala,Bajra,1313,1431,1401,29082017
290,Nashik,Devala,Bajra,1336,1591,1425,28082017
291,Nashik,Devala,Bajra,1315,1426,1375,24082017
292,Nashik,Devala,Bajra,1321,1500,1451,23082017
293,Nashik,Devala,Bajra,1340,1556,1470,22082017
294,Nashik,Devala,Bajra,1305,1432,1396,18082017
295,Nashik,Devala,Bajra,1315,1335,1329,16082017
296,Nashik,Devala,Bajra,1300,1401,1380,11082017
297,Nashik,Devala,Bajra,1322,1322,1322,10082017
298,Nashik,Devala,Bajra,1261,1336,1335,09082017
299,Nashik,Devala,Bajra,1316,1430,1380,08082017
300,Nashik,Devala,Bajra,1300,1465,1351,04082017
301,Nashik,Devala,Bajra,1341,1591,1386,02082017
302,Nashik,Devala,Bajra,1321,1432,1432,01082017
303,Nashik,Devala,Bajra,1271,1441,1300,31072017
304,Nashik,Devala,Bajra,1377,1377,1377,28072017
305,Nashik,Devala,Bajra,1341,1412,1364,27072017
306,Nashik,Devala,Bajra,1299,1416,1355,26072017
307,Nashik,Devala,Bajra,1326,1442,1401,25072017
308,Nashik,Devala,Bajra,1300,1391,1351,24072017
309,Nashik,Devala,Bajra,1341,1431,1390,21072017
310,Nashik,Devala,Bajra,1391,1391,1391,20072017
311,Nashik,Devala,Bajra,1280,1341,1321,19072017
312,Nashik,Devala,Bajra,1280,1571,1421,18072017
313,Nashik,Devala,Bajra,1376,1465,1385,17072017
314,Nashik,Devala,Bajra,1280,1280,1280,14072017
315,Nashik,Devala,Bajra,1431,1452,1452,13072017
316,Nashik,Devala,Bajra,1370,1415,1380,12072017
317,Nashik,Devala,Bajra,1351,1469,1451,11072017
318,Nashik,Devala,Bajra,1374,1460,1424,10072017
319,Nashik,Devala,Bajra,1391,1391,1391,07072017
320,Nashik,Devala,Bajra,1331,1451,1410,06072017
321,Nashik,Devala,Bajra,1295,1321,1300,05072017
322,Nashik,Devala,Bajra,1266,1590,1315,03072017
323,Nashik,Devala,Bajra,1251,1617,1340,30062017
324,Nashik,Devala,Bajra,1251,1444,1362,29062017
325,Nashik,Devala,Bajra,1241,1255,1246,28062017
326,Nashik,Devala,Bajra,1351,1422,1422,27062017
327,Nashik,Devala,Bajra,1330,1475,1353,23062017
328,Nashik,Devala,Bajra,1331,1411,1335,22062017
329,Nashik,Devala,Bajra,1330,1500,1441,21062017
330,Nashik,Devala,Bajra,1353,1451,1364,20062017
331,Nashik,Devala,Bajra,1295,1425,1375,19062017
332,Nashik,Devala,Bajra,1366,1495,1410,16062017
333,Nashik,Devala,Bajra,1300,1451,1451,15062017
334,Nashik,Devala,Bajra,1355,1500,1400,14062017
335,Nashik,Devala,Bajra,1470,1470,1470,13062017
336,Nashik,Devala,Bajra,1353,1423,1367,12062017
337,Nashik,Devala,Bajra,1401,1451,1441,31052017
338,Nashik,Devala,Bajra,1381,1465,1425,30052017
339,Nashik,Devala,Bajra,1335,1515,1350,29052017
340,Nashik,Devala,Bajra,1370,1500,1481,26052017
341,Nashik,Devala,Bajra,1199,1321,1250,24052017
342,Nashik,Devala,Bajra,1355,1440,1440,23052017
343,Nashik,Devala,Bajra,1361,1401,1361,22052017
344,Nashik,Devala,Bajra,1451,1451,1451,18052017
345,Nashik,Devala,Bajra,1381,1381,1381,17052017
346,Nashik,Devala,Bajra,1416,1416,1416,16052017
347,Nashik,Devala,Bajra,1330,1591,1400,15052017
348,Nashik,Devala,Bajra,1351,1421,1395,12052017
349,Nashik,Devala,Bajra,1353,1595,1490,11052017
350,Nashik,Devala,Bajra,1391,1391,1391,09052017
351,Nashik,Devala,Bajra,1412,1640,1430,08052017
352,Nashik,Devala,Bajra,1371,1491,1375,05052017
353,Nashik,Devala,Bajra,1354,1450,1445,04052017
354,Nashik,Devala,Bajra,1360,1516,1426,03052017
355,Nashik,Devala,Bajra,1470,1491,1491,02052017
356,Nashik,Devala,Bajra,1373,1551,1540,27042017
357,Nashik,Devala,Bajra,1500,1675,1590,25042017
358,Nashik,Devala,Bajra,1372,1595,1540,21042017
359,Nashik,Devala,Bajra,1576,1576,1576,20042017
360,Nashik,Devala,Bajra,1405,1651,1621,19042017
361,Nashik,Devala,Bajra,1540,1576,1540,18042017
362,Nashik,Devala,Bajra,1361,1631,1575,17042017
363,Nashik,Devala,Bajra,1333,1651,1551,13042017
364,Nashik,Devala,Bajra,1400,1526,1493,12042017
365,Nashik,Devala,Bajra,1410,1585,1576,10042017
366,Nashik,Devala,Bajra,1525,1645,1641,07042017
367,Nashik,Devala,Bajra,1500,1551,1517,06042017
368,Nashik,Devala,Bajra,1386,1580,1534,24032017
369,Nashik,Devala,Bajra,1352,1539,1451,23032017
370,Nashik,Devala,Bajra,1341,1531,1531,22032017
371,Nashik,Devala,Bajra,1425,1425,1425,21032017
372,Nashik,Devala,Bajra,1381,1452,1452,20032017
373,Nashik,Devala,Bajra,1405,1485,1451,17032017
374,Nashik,Devala,Bajra,1370,1481,1380,15032017
375,Nashik,Devala,Bajra,1335,1414,1414,08032017
376,Nashik,Devala,Bajra,1340,1361,1361,07032017
377,Nashik,Devala,Bajra,1376,1592,1400,06032017
378,Nashik,Devala,Bajra,1371,1451,1426,03032017
379,Nashik,Devala,Bajra,1347,1576,1432,01032017
380,Nashik,Devala,Bajra,1380,1551,1431,28022017
381,Nashik,Devala,Bajra,1343,1560,1450,27022017
382,Nashik,Devala,Bajra,1385,1680,1422,23022017
383,Nashik,Devala,Bajra,1375,1626,1551,22022017
384,Nashik,Devala,Bajra,1341,1341,1341,16022017
385,Nashik,Devala,Bajra,1350,1495,1400,15022017
386,Nashik,Devala,Bajra,1422,1496,1473,14022017
387,Nashik,Devala,Bajra,1385,1451,1424,13022017
388,Nashik,Devala,Bajra,1376,1535,1535,10022017
389,Nashik,Devala,Bajra,1405,1701,1470,09022017
390,Nashik,Devala,Bajra,1382,1436,1421,08022017
